config,seed,benchmark,metric,value,n
E1,44,s669,spearman,0.47633234189130663,669
E1,44,s669,pearson,0.45335987575540393,669
E1,44,s669,rmse,1.595762587619344,669
E1,44,s669,mae,1.158391713118807,669
E1,44,s461,spearman,0.6398136880836702,461
E1,44,s461,pearson,0.6340223905185937,461
E1,44,s461,rmse,1.108287358364522,461
E1,44,s461,mae,0.8485220063335329,461
E1,44,s783,spearman,0.6257922435962926,783
E1,44,s783,pearson,0.627136220384735,783
E1,44,s783,rmse,1.6114050465773393,783
E1,44,s783,mae,1.1858820658162865,783
E1,44,s2648,spearman,0.5529586260189975,2648
E1,44,s2648,pearson,0.5414663900440001,2648
E1,44,s2648,rmse,1.426897406181533,2648
E1,44,s2648,mae,1.0685975669789638,2648
E1,44,s8754,spearman,0.5473208167685305,8228
E1,44,s8754,pearson,0.5045404384831836,8228
E1,44,s8754,rmse,1.8279140248250567,8228
E1,44,s8754,mae,1.2584957703110702,8228
E1,44,ssym_direct,spearman,0.45952894513034476,342
E1,44,ssym_direct,pearson,0.4422984007280965,342
E1,44,ssym_direct,rmse,1.5016580033575435,342
E1,44,ssym_direct,mae,1.0723088693244067,342
E1,44,ssym_inverse,spearman,0.34514770313497906,342
E1,44,ssym_inverse,pearson,0.35818237170934075,342
E1,44,ssym_inverse,rmse,1.7637304211680191,342
E1,44,ssym_inverse,mae,1.2925391932459254,342
E1,44,s571,spearman,0.39185788466908444,571
E1,44,s571,pearson,0.3781095403793181,571
E1,44,s571,rmse,8.943762549819365,571
E1,44,s571,mae,6.00072056488925,571
E1,44,s4346,spearman,0.47029687316802704,3969
E1,44,s4346,pearson,0.434253660143069,3969
E1,44,s4346,rmse,7.635989149557761,3969
E1,44,s4346,mae,4.782365335908062,3969
E1,44,megascale_test,spearman,0.6653824049634677,28172
E1,44,megascale_test,pearson,0.6752734264652074,28172
E1,44,megascale_test,rmse,1.239908334876871,28172
E1,44,megascale_test,mae,0.9673437207050053,28172
E2,42,s669,spearman,0.45815121013983107,669
E2,42,s669,pearson,0.424040320753773,669
E2,42,s669,rmse,1.6908779198115098,669
E2,42,s669,mae,1.213541737706115,669
E2,42,s461,spearman,0.6479505392644395,461
E2,42,s461,pearson,0.6300650175994479,461
E2,42,s461,rmse,1.171808731785138,461
E2,42,s461,mae,0.8834909019656398,461
E2,42,s783,spearman,0.6362156704336037,783
E2,42,s783,pearson,0.6344202921786615,783
E2,42,s783,rmse,1.6145041073669575,783
E2,42,s783,mae,1.2117730460366374,783
E2,42,s2648,spearman,0.5834255382943736,2648
E2,42,s2648,pearson,0.567119091574665,2648
E2,42,s2648,rmse,1.4173756069356236,2648
E2,42,s2648,mae,1.0661756906368605,2648
E2,42,s8754,spearman,0.5680042471594334,8228
E2,42,s8754,pearson,0.5199341344629529,8228
E2,42,s8754,rmse,1.8374937327380463,8228
E2,42,s8754,mae,1.2811309376888678,8228
E2,42,ssym_direct,spearman,0.5125014012892642,342
E2,42,ssym_direct,pearson,0.5068902320451885,342
E2,42,ssym_direct,rmse,1.4688655669947137,342
E2,42,ssym_direct,mae,1.093195256041853,342
E2,42,ssym_inverse,spearman,0.35529557573982656,342
E2,42,ssym_inverse,pearson,0.3663321815946312,342
E2,42,ssym_inverse,rmse,1.8300778127158086,342
E2,42,ssym_inverse,mae,1.3521922563818114,342
E2,42,s571,spearman,0.3980878119940911,571
E2,42,s571,pearson,0.3537789094751026,571
E2,42,s571,rmse,8.912837570261795,571
E2,42,s571,mae,5.984416712238576,571
E2,42,s4346,spearman,0.4966229742680918,3969
E2,42,s4346,pearson,0.454628711783366,3969
E2,42,s4346,rmse,7.5300123929330836,3969
E2,42,s4346,mae,4.698128452854929,3969
E2,42,megascale_test,spearman,0.6655581522098636,28172
E2,42,megascale_test,pearson,0.6755743936874111,28172
E2,42,megascale_test,rmse,1.3306829803032456,28172
E2,42,megascale_test,mae,1.0414987508944276,28172
E2,43,s669,spearman,0.47942770782217414,669
E2,43,s669,pearson,0.4464309694237895,669
E2,43,s669,rmse,1.654098496491443,669
E2,43,s669,mae,1.1868023194834836,669
E2,43,s461,spearman,0.6607785689219308,461
E2,43,s461,pearson,0.6432550490299258,461
E2,43,s461,rmse,1.1469933693760894,461
E2,43,s461,mae,0.8590792863909559,461
E2,43,s783,spearman,0.6443905167570003,783
E2,43,s783,pearson,0.637771731925819,783
E2,43,s783,rmse,1.606350169953681,783
E2,43,s783,mae,1.180344682886226,783
E2,43,s2648,spearman,0.5710763201801884,2648
E2,43,s2648,pearson,0.5528678624334354,2648
E2,43,s2648,rmse,1.4573360458476006,2648
E2,43,s2648,mae,1.088006802862707,2648
E2,43,s8754,spearman,0.5614666680384327,8228
E2,43,s8754,pearson,0.5187756603446063,8228
E2,43,s8754,rmse,1.8400823045630146,8228
E2,43,s8754,mae,1.2716508396713806,8228
E2,43,ssym_direct,spearman,0.49497725430464784,342
E2,43,ssym_direct,pearson,0.47481757643673334,342
E2,43,ssym_direct,rmse,1.5468459419172873,342
E2,43,ssym_direct,mae,1.1134433678585536,342
E2,43,ssym_inverse,spearman,0.38562756140411686,342
E2,43,ssym_inverse,pearson,0.41796598808021207,342
E2,43,ssym_inverse,rmse,1.845179600187119,342
E2,43,ssym_inverse,mae,1.3690432236578904,342
E2,43,s571,spearman,0.39758148655080117,571
E2,43,s571,pearson,0.3549306848637489,571
E2,43,s571,rmse,8.902999841156745,571
E2,43,s571,mae,5.9683115008220256,571
E2,43,s4346,spearman,0.48277880991447625,3969
E2,43,s4346,pearson,0.4454661777457821,3969
E2,43,s4346,rmse,7.565205512746805,3969
E2,43,s4346,mae,4.739402908270554,3969
E2,43,megascale_test,spearman,0.6634231875399302,28172
E2,43,megascale_test,pearson,0.6716090127428984,28172
E2,43,megascale_test,rmse,1.3165023820792001,28172
E2,43,megascale_test,mae,1.0231516674033836,28172
E2,44,s669,spearman,0.4715667336095535,669
E2,44,s669,pearson,0.4419601013876531,669
E2,44,s669,rmse,1.660209182174109,669
E2,44,s669,mae,1.2021729682247824,669
E2,44,s461,spearman,0.6608768032366954,461
E2,44,s461,pearson,0.6449626534848626,461
E2,44,s461,rmse,1.1475412442150101,461
E2,44,s461,mae,0.8722421468842629,461
E2,44,s783,spearman,0.6477964350369259,783
E2,44,s783,pearson,0.6288706462636041,783
E2,44,s783,rmse,1.6178787134195796,783
E2,44,s783,mae,1.2070655415255676,783
E2,44,s2648,spearman,0.5841831681808601,2648
E2,44,s2648,pearson,0.5685330481074511,2648
E2,44,s2648,rmse,1.4198733609126053,2648
E2,44,s2648,mae,1.0666031497833108,2648
E2,44,s8754,spearman,0.5653818514117434,8228
E2,44,s8754,pearson,0.5043021985984952,8228
E2,44,s8754,rmse,1.8685300086163414,8228
E2,44,s8754,mae,1.2976934363019714,8228
E2,44,ssym_direct,spearman,0.5137805196775705,342
E2,44,ssym_direct,pearson,0.509212093837938,342
E2,44,ssym_direct,rmse,1.4694348007155984,342
E2,44,ssym_direct,mae,1.0711983398735871,342
E2,44,ssym_inverse,spearman,0.33064782714563573,342
E2,44,ssym_inverse,pearson,0.34131532827232036,342
E2,44,ssym_inverse,rmse,1.835132585812428,342
E2,44,ssym_inverse,mae,1.3170821064244411,342
E2,44,s571,spearman,0.38253910949506487,571
E2,44,s571,pearson,0.35498774170467734,571
E2,44,s571,rmse,8.910483765616638,571
E2,44,s571,mae,5.9914451018595605,571
E2,44,s4346,spearman,0.4933552432055609,3969
E2,44,s4346,pearson,0.44954768252891075,3969
E2,44,s4346,rmse,7.561256569551804,3969
E2,44,s4346,mae,4.721202544654931,3969
E2,44,megascale_test,spearman,0.6631762398709355,28172
E2,44,megascale_test,pearson,0.6740350674474285,28172
E2,44,megascale_test,rmse,1.3685428402479192,28172
E2,44,megascale_test,mae,1.0644543390585666,28172
V1,42,s669,spearman,0.47560077297621733,669
V1,42,s669,pearson,0.4406353849698235,669
V1,42,s669,rmse,1.619696460274346,669
V1,42,s669,mae,1.1619094962446277,669
V1,42,s461,spearman,0.6596633277299947,461
